url,tags
https://support.mozilla.org/questions/1276816,bookmarks;firefox-720;desktop;windows-10;
https://support.mozilla.org/questions/1276819,download-and-install_1;desktop;windows-10;
https://support.mozilla.org/questions/1276820,
https://support.mozilla.org/questions/1276822,customize;desktop;firefox-720;windows-10;
https://support.mozilla.org/questions/1276825,customize;desktop;firefox-720;windows-7;
https://support.mozilla.org/questions/1276827,firefox-720;desktop;sync;mac-os;
https://support.mozilla.org/questions/1276828,other;firefox-720;desktop;mac-os;
https://support.mozilla.org/questions/1276832,websites;firefox-720;desktop;windows-10;bug1607985;
https://support.mozilla.org/questions/1276833,tips;firefox-720;desktop;
https://support.mozilla.org/questions/1276834,privacy-and-security_1;firefox-720;desktop;windows-7;escalate;
https://support.mozilla.org/questions/1276835,other;firefox-720;desktop;windows-7;
https://support.mozilla.org/questions/1276836,fix-problems;firefox-720;desktop;firefox-7201;
https://support.mozilla.org/questions/1276838,other;firefox-720;desktop;windows-10;
https://support.mozilla.org/questions/1276839,customize;desktop;firefox-720;windows-10;
https://support.mozilla.org/questions/1276840,firefox-680;desktop;fix-problems;windows-10;
https://support.mozilla.org/questions/1276841,firefox-720;desktop;sync;windows-10;
https://support.mozilla.org/questions/1276842,desktop;fix-problems;windows-7;escalate;
https://support.mozilla.org/questions/1276843,firefox-720;desktop;fix-problems;windows-10;
https://support.mozilla.org/questions/1276845,firefox-700;sync;desktop;mac-os;
https://support.mozilla.org/questions/1276846,firefox-730;beta;desktop;fix-problems;windows-10;
https://support.mozilla.org/questions/1276847,fix-problems;firefox-720;desktop;firefox-7201;windows-10;
https://support.mozilla.org/questions/1276848,other;desktop;
https://support.mozilla.org/questions/1276850,customize;desktop;firefox-720;windows-10;
https://support.mozilla.org/questions/1276851,tabs;firefox-720;desktop;unsuppportedhacks;unsupporteduserchromecss;userchromecss;fulltitlebarfortabs;fulltitlebarfortabs72;
https://support.mozilla.org/questions/1276852,firefox-7201;customize;desktop;firefox-720;windows-10;
https://support.mozilla.org/questions/1276854,tabs;firefox-720;desktop;mac-os;bug1608656;
https://support.mozilla.org/questions/1276855,other;firefox-720;desktop;windows-10;
https://support.mozilla.org/questions/1276861,tabs;firefox-720;desktop;windows-7;
https://support.mozilla.org/questions/1276862,
https://support.mozilla.org/questions/1276864,firefox-680;sync;desktop;
