id,created,url,title,content,tags,product,locale
1281782,2020-03-11 12:26:26 -0800,https://support.mozilla.org/questions/1281782,How can I reinstall firefox with only passwords/bookmarks?,"I want to COMPLETELY wipe firefox, and then reinstall it and bring back only my passwords and bookmarks. I'm trying to troubleshoot some graphical glitches in firefox. How do I restore passwords and bookmarks after restoring? Thanks ",download-and-install_1;firefox-730;desktop;windows-10;profiles;profilebackup;profilerestore;passwords;bookmarks;,firefox,en-US
1282293,2020-03-18 07:12:33 -0800,https://support.mozilla.org/questions/1282293,Importing data from Brave Browser doesn't work,"When I use the import wizard, it doesn't show the option for Brave browser, this has been an issue for long. ",bookmarks;desktop;import;importfrombrave;,firefox,en-US
1281971,2020-03-13 19:50:36 -0800,https://support.mozilla.org/questions/1281971,"I cannot login to my firefox account, reason it gives is ""state""","I have no idea what state is on file as being my state of residence (I move a lot for a civilian), but I've lived at this address for the last three or four years and never had any issue with logging in to my firefox account before. I have plenty of trouble with my location WITHI...",firefox-740;desktop;privacy-and-security_1;windows-10;firefox-accounts;troubleshootingdetailsmissing;,firefox,en-US
1282092,2020-03-15 16:42:32 -0800,https://support.mozilla.org/questions/1282092,On the facebook login page how do i stop my email address's and passwords appear,When I open the Facebook log in screen my emails and passwords are displayed in the email box drop down . How do I stop that without interfering with web address bar search suggestions? ,privacy-and-security_1;firefox-730;firefox-7301;desktop;windows-10;,firefox,en-US
1282583,2020-03-22 14:47:15 -0800,https://support.mozilla.org/questions/1282583,Add-on Translator closes after pressing CapsLock,"I use extension ""Translator"" and it's fully okey instead one moment: window of this add-on closes if I press capslock button.  I use Ubuntu 18.04 (gnome 3) with Firefox 74 and my capslock button is setting up to switch input language (in gnome 3 settings). Probably, It's not exte...",firefox-740;customize;desktop;linux;,firefox,en-US
1282225,2020-03-17 10:23:35 -0800,https://support.mozilla.org/questions/1282225,"I have to use XP Pro due to programs I have for work, XP supports physical machi","I have machinery that will run on XP and nothing after that, I believe Windows is trying to push us back into the dark ages, I was with them from 3.1 and Bill Gates, to push his product went to manufacturers that used computers with DOS and a yellow on black screen and convinced ...",firefox-520;other;desktop;windows-xp;,firefox,en-US
1282528,2020-03-21 13:32:14 -0800,https://support.mozilla.org/questions/1282528,"A 3 tone sound played, what is it?","Today I had only Firefox open on my Mac and a sound played that I can't find the source of.  It was 3 notes, with the last note being the highest pitch.  It worries me that something happened and I can't find out what. When this happened I quickly rebooted my Mac and then updated...",firefox-740;desktop;privacy-and-security_1;mac-os;,firefox,en-US
1282246,2020-03-17 15:04:39 -0800,https://support.mozilla.org/questions/1282246,I cant install avast online security or any extension or add on like wtf it says,IM GONNA SWITCH IF SOMEONE DOESNT ANSWER ME ,download-and-install_1;firefox-740;desktop;windows-7;unclearquestions;,firefox,en-US
1281845,2020-03-12 08:06:51 -0800,https://support.mozilla.org/questions/1281845,How can I change the bookmark icon in the bookmar toolbar?,I have bookmarks to multiple pages in the same domain and they show up with the same icon. How can I change them so that I can differentiate them? I prefer to just have icons instead of names/text for my bookmarks. ,bookmarks;firefox-730;desktop;linux;,firefox,en-US
1282520,2020-03-21 12:12:22 -0800,https://support.mozilla.org/questions/1282520,"craigslist highlighting previous ad views is missing, how do I restore this?",When I browse craigslist it no longer highlights or changes the color of previously viewed ads. ,firefox-740;websites;desktop;windows-10;,firefox,en-US
1282251,2020-03-17 16:54:04 -0800,https://support.mozilla.org/questions/1282251,Where are all of my bookmarks after an apparent firefox upgrade?,I restarted my computor and a new??? version of Mozilla firefox appeared.  The bookmarks menu is empty except for defoault Firefox garbage ,bookmarks;desktop;firefox-740;windows-10;dataloss;bookmarksdataloss;escalate;,firefox,en-US
1281944,2020-03-13 13:05:34 -0800,https://support.mozilla.org/questions/1281944,"Firefox keeps turning ""cookies.sqlite"" into .bak since it updated to version 74.","Immediately after updating to version 74.0, I noticed Firefox had logged me out from all sites I usually am automatically logged into at the start of a session.  It was not the first time I encountered this problem, as it had been happening at irregular intervals, and found that ...",firefox-740;cookies;desktop;windows-10;profiles;sqlite;cookiessqlite;cookiessqlitebak;,firefox,en-US
1282464,2020-03-20 15:26:38 -0800,https://support.mozilla.org/questions/1282464,Should I download Firefox?,"After moving from a Windows 7 Laptop to a new iMac Catalina, should I download and install Firefox as my browser on my new computer? ",download-and-install_1;desktop;,firefox,en-US
1281960,2020-03-13 16:53:57 -0800,https://support.mozilla.org/questions/1281960,I have 6 different emails that have accumulated from early yahoo (priv. early pr,"I need to find a secure place like Firefox or Mozilla to put my 3 yahoo email accounts and 3 google email accounts, some of the older yahoo and google accounts are in my first and last name and are attached to bills and God only knows what except through those old email addresses...",firefox-740;other;desktop;mac-os;email;webmail;,firefox,en-US
1281820,2020-03-12 02:18:35 -0800,https://support.mozilla.org/questions/1281820,Task manager shows 12 instances of firefox when 1 browser is open,"I only have 1 browser open, but in my task manager, it shows 11 instances.  some times when downloading, it came to a complete stop and it jams the internet.  I can't even get Chrome and Edge to browse anything. I had to force Firefox to stop and it kills my downloads. it did not...",firefox-740;desktop;fix-problems;windows-10;e10s;,firefox,en-US
1282365,2020-03-19 07:20:43 -0800,https://support.mozilla.org/questions/1282365,"Firefox is listed in Windows 10 as my default browser, but on Firefox it shows F",How do I get Firefox to recognize that Firefox IS my default browser? ,firefox-740;customize;desktop;windows-10;defaultbrowser;,firefox,en-US
1282451,2020-03-20 11:52:19 -0800,https://support.mozilla.org/questions/1282451,"Web Filter Violation: Website is now blocked because ""You have tried to access a","I have been accessing and using a website for months. Now when I try to go to it I get the message that it has been blocked because it is in violation of my internet usage policy. Screenshot of error message attached. I am at home, not on any work, school, or public network, so n...",firefox-740;desktop;privacy-and-security_1;windows-10;,firefox,en-US
1282285,2020-03-18 06:42:32 -0800,https://support.mozilla.org/questions/1282285,Why do you FORCE me to use Version 74 - it does not work for me - I will now hav,Dear Millennials ... we are not all the same NOR do we need YOU to control how our computers work ... VERY angry and upset about this latest forced update to a browser that was working just the way I wanted ... Now I have to go thru hours or set up time to get back to where I was...,download-and-install_1;firefox-680;desktop;windows-7;,firefox,en-US
1281734,2020-03-10 20:13:18 -0800,https://support.mozilla.org/questions/1281734,"On update to 74.0  several sites do not work - yahoo.com, weather,com, harborfre","Two computers updated to 74.0 (64 bit) today.  Prior to the update no problems.  After the update several sites are ignored on both machines.  No errors, warnings, etc.  It is as if you never entered the url.  Tried about 50 sites, found 4 that don't work (ones I use regularly). ...",firefox-740;desktop;fix-problems;windows-10;weathercom;harborfreightcom;yahoocom;troubleshootingdetailsmissing;regression;bug1621301;,firefox,en-US
1281716,2020-03-10 15:38:36 -0800,https://support.mozilla.org/questions/1281716,Today’s Firefox windows update broke windows 10 connection to the internet.,This has happened to 5 individual computers updated at different times today. As each one updates it goes off line. LAN works fine but Firefox seems to have altered something in windows 10  OS that kills that individual computers connection to the internet. ,desktop;fix-problems;probablynotafirefoxproblem;troubleshootingdetailsmissing;windows10;,firefox,en-US
1281969,2020-03-13 19:19:54 -0800,https://support.mozilla.org/questions/1281969,firefox 74 tab crashes after update,Tabs crashing ofeten after update? ,firefox-740;desktop;fix-problems;windows-10;crashes;tabs;troubleshootingdetailsmissing;,firefox,en-US
1282423,2020-03-20 01:47:25 -0800,https://support.mozilla.org/questions/1282423,"When I click one of the webiste buttons , the site blocks.  I have the same prob",I work with the latest version of Firefox and with Windows 10 on a laptop. A few weeks ago I wanted to log into the bank website and the login button didn't work anymore. I had no problems with Google Chrome or any other browser when I opened the bank site on my laptop. Also on t...,firefox-740;desktop;fix-problems;windows-10;,firefox,en-US
1282354,2020-03-19 02:53:53 -0800,https://support.mozilla.org/questions/1282354,Firefox does not allow me to log out from Hotmail,"Normally when leaving Hotmail I click on my user name and am presented with a number of options including ""Sign Out"". Now no options are presented, but Microsoft Edge does show these options and I can log out with no problem. Can anyone help? ",firefox-740;other;desktop;windows-10;hotmail;,firefox,en-US
1282436,2020-03-20 07:10:30 -0800,https://support.mozilla.org/questions/1282436,"When using passwords containing the dollar sign ""$"" Firefox won't autofill or lo","I'm encountering this problem: I have a few passwords which contain ""$"" and Lockwise refuses to save the entire password after the symbol (i.e.: ""123456$abc"" will be saved as ""123456$""). Additionally, when I manually correct this by editing the password in Lockwise, then go back ...",firefox-740;websites;desktop;mac-os;,firefox,en-US
1282115,2020-03-16 01:12:41 -0800,https://support.mozilla.org/questions/1282115,How to set Bookmark to always open in a container,"The option to always open a link in a particular container seems to be linked to the domain; right-click link, Open link in new Container Tab, click the Always open link in this container. This then sets all links to that domain to open in that container. Often I want to log in t...",firefox-740;customize;desktop;windows-10;bookmarkinacontainer;,firefox,en-US
