id,created,updated,title,content,tags,product,topic,locale,answers,creator
1282759,2020-03-24 18:04:12 -0800,2020-03-24T19:15:00Z,"After updating Ff and uninstalling old version, I no longer have bookmarks, passwords, etc. - I tried changing profiles, windows restore with no luck.","<p>After updating Firefox to the latest version (74.0), I realized I had 2 separate versions of Ff installed. I uninstalled the older one and then realized I no longer have any of the bookmarks or passwords that I have accumulated over the last 10+ years. </p>",download-and-install_1;firefox-740;desktop;windows-10;,firefox,download-and-install,en-US,1300042;,abcdejames
1282757,2020-03-24 17:22:54 -0800,2020-03-24T19:17:56Z,Firefox quits suddenly with no apparent reason or error message.,<p>Anyone have an idea what's happening? I'm using Firefox 74.0 on a MacMini running OS 10.3.6.  Firefox quits mostly when on another program like iMessage but it happens sometimes while using Firefox.  Any suggestions you have would be appreciated. </p>,firefox-740;desktop;fix-problems;mac-os;mac-osx-1013;,firefox,fix-problems,en-US,1300043;,dlhig33
1282756,2020-03-24 16:39:39 -0800,2020-03-24T16:39:39Z,"I tried to use Facebook Container, and now I can't log in to Facebook from any device, any browser.",<p>I can't log in to Facebook anymore since I tried to use Facebook container. Facebook thinks I'm a spammer. </p>,firefox-740;other;desktop;mac-os;,firefox,other,en-US,"",cris1
1282755,2020-03-24 16:36:34 -0800,2020-03-24T17:38:14Z,firefox screen shots is missing,"<p>My system acted strangely earlier today and now that it's back, Firefox screen shots is nowhere to be found. </p>",firefox-740;other;desktop;windows-10;,firefox,other,en-US,1300024;1300025;1300026;1300027;,ds_gregg
1282754,2020-03-24 16:25:40 -0800,2020-03-24T16:25:40Z,problems with my password,<p>Try to enter laptop cannot but able to enter in phone or tablet </p>,other;desktop;,firefox,other,en-US,"",claudinerivard
1282753,2020-03-24 16:25:40 -0800,2020-03-24T16:25:40Z,problems with my password,<p>Try to enter laptop cannot but able to enter in phone or tablet </p>,other;desktop;,firefox,other,en-US,"",claudinerivard
1282752,2020-03-24 16:25:39 -0800,2020-03-24T16:25:39Z,problems with my password,<p>Try to enter laptop cannot but able to enter in phone or tablet </p>,other;desktop;,firefox,other,en-US,"",claudinerivard
1282751,2020-03-24 16:25:38 -0800,2020-03-24T16:25:38Z,problems with my password,<p>Try to enter laptop cannot but able to enter in phone or tablet </p>,other;desktop;,firefox,other,en-US,"",claudinerivard
1282750,2020-03-24 16:25:38 -0800,2020-03-24T16:25:38Z,problems with my password,<p>Try to enter laptop cannot but able to enter in phone or tablet </p>,other;desktop;,firefox,other,en-US,"",claudinerivard
1282748,2020-03-24 16:13:08 -0800,2020-03-24T18:24:44Z,I cannot turn off dark mode in windows.,"<p>Every time I open up a search window (for both Google and DuckDuckGo) or Twitter, the entire page is dark with white lettering. I've been trying to turn this off, but cannot figure out how. Yes, I've searched all over before asking here. Any help would be appreciated! </p>",firefox-740;customize;desktop;,firefox,customize,en-US,1300030;1300037;,robertcoogan
1282747,2020-03-24 16:09:38 -0800,2020-03-24T16:09:38Z,"Any website I go to, at randoms times it will turn into TV static it looks like","<p>Title says it all and here is a screenshot that should clear it up </p><p><a href=""https://gyazo.com/d5948e707bebef4ec9c6fba057f760ee"" rel=""nofollow"">https://gyazo.com/d5948e707bebef4ec9c6fba057f760ee</a> </p>",firefox-740;desktop;fix-problems;windows-10;,firefox,fix-problems,en-US,"",thientrinh36
1282746,2020-03-24 16:06:05 -0800,2020-03-24T16:06:05Z,I am having problems with addons on the overflow menu not displaying correctly.,"<p>When an addon's icon (such as Video DownloadHelper, Session Sync, FVD Speed Dial, and others) is on the overflow menu (instead of on the tool bar) it does not display correctly when clicked. </p>",firefox-740;customize;desktop;linux;,firefox,customize,en-US,"",Chester.Cressman
