id,created,updated,title,content,tags,product,topic,locale,answers,creator
1288375,2020-05-26 09:02:08 -0800,2020-05-26T09:02:08Z,update config,<p>its obvious that the last version of FF has setting issues. Something new in the config settings is preventing css mods from taking place. I know about the toolkit css item etc.... but there is something else that is not right. Maybe you should check with Apple before you release updates. Please find out what is is..you might have to talk to Apple and try different things on a Mac ....to confirm that css works.. I am running the latest.. I think its definitely a FF thing because it worked before and other fonts controlled by Mac are not having the problems that the bookmarks toolbar is having regarding css to enlarge the microscopic font that in on a Mac toolbar. If you cant find anything then I guess its time to go to Brave. </p>,other;desktop;firefox-760;mac-os;,firefox,other,en-US,"",wb9591
1288374,2020-05-26 09:01:33 -0800,2020-05-26T09:01:33Z,"I won't check a box that pre-agrees to being in ""studies"" I'm not aware of...but...","<p>I won't check a box that opts me into observational and INTERVENTIONAL studies that I won't even be aware that I'm in since I don't look every 5 minutes at the settings and may do things like the evil sort of one fb ? did that changed your emotions. </p><p>That's a great example of why I moved to Firefox from Chrome and am wary of Facebook. </p><p>I'd be more than happy to check a box that says: ""Please offer me any/all studies I may be eligible for including add'l questions to see if I'm eligible, with a reasonable stab at assent (not even informed consent). And of course whether data is anonymous (truly, as in after the study even if you wanted to you couldn't figure out which person was which), or not. Not anonymous may be fine....depending on the study. My very best, really, you're great....AND I'd be happy to discuss, advise (see below)...my 'toolbox' isn't simply biomedical. Darren </p> <hr> <p>(Just me being pedantic now ignore this as you wish: And you say ""study"" ... I'm a researcher (sometimes)...IRB, grants, peer review, publications. Research is the ""creation of generalizable knowledge."" Is that what you're doing? I suspect you're doing more ""quality improvement"" where you figure out what works better for you...and SOMETIMES that is generalizeable knowledge (i.e., certain colors make people happy in every browser not Firefox specific), but do you publish it as peer reviewed research? Now, it's TOTALLY FINE if you don't and it's QI....but would specify that and not call it studies...call it...evaluating improvements or whatever. The use of the word 'study' and 'research' drive me nuts since when we talk to people about actual 'studies' and 'research' they conflate that with marketing evaluations of what makes us by more or which candidate we're interested in or how to sell things to us.) </p>",privacy-and-security_1;desktop;firefox-760;mac-os;,firefox,privacy-and-security,en-US,"",dlinkin
1288372,2020-05-26 08:35:25 -0800,2020-05-26T08:35:25Z,How to add button in toolbar of print preview fire fox using extension,<p>How to add button in toolbar of print preview fire fox using firefox extension. Thank you so much. </p>,customize;desktop;,firefox,customize,en-US,"",phannam88
1288371,2020-05-26 08:34:37 -0800,2020-05-26T08:34:37Z,How to Remove Addresses from Suggestions in Address Bar,<p>Every time I click the address bar (to type an address) FF shows me a list of links (see the attachment) which I can't get rid of. I tried shift+del solution which does nothing. Also I cleaned up my history and bookmarks (I searched and deleted everything related to those addresses). Can someone please let me know how to get rid of this suggestions? </p>,other;desktop;firefox-760;mac-os;,firefox,other,en-US,"",rad.wildrydes.d2ecf5
1288369,2020-05-26 08:23:53 -0800,2020-05-26T08:23:53Z,Sites parcialmente baixados,"<p><strong>bold text</strong>Há sites, cujas fotos não aparecem. Tudo indica que o Java não funciona. Como fazer para corrigir isso? </p>",fix-problems;desktop;firefox-760;windows-10;,firefox,fix-problems,pt-BR,"",oswaldoramos789
1288368,2020-05-26 08:19:54 -0800,2020-05-26T08:19:54Z,Работа ютуб,"<p>привет ! эти чудики разработчики, постоянно всякую фигню выдумывают раньше можно было поствить ролик с музыкой из ютуб, открыть ютуб в другой странице и смотреть новости - теперь он останалвиает второе окно ютуба. Как эту ерунду убрать, чтобы без глупых ""инноваций"" разработчиков мазилы, шло воспроизведение контента ? Подобной дури нет ни хрома, ни у оперы. </p>",firefox-750;websites;desktop;windows-8;,firefox,websites,en-US,"",banke135
1288367,2020-05-26 08:17:24 -0800,2020-05-26T08:37:41Z,Firefox Data Concerns When Upgrading PC with Windows 7 to 10,"<p>My PC has Windows 7 and I use Firefox for my Browser. If I upgrade to Windows 10 are my current Documents, Downloads and Bookmarks on Firefox at risk? </p>",download-and-install_1;firefox-770;beta;desktop;windows-7;,firefox,download-and-install,en-US,1316068;,2811lgg
1288365,2020-05-26 08:14:09 -0800,2020-05-26T08:14:09Z,Default preferences: How to set default zoom?,"<p>I'm wondering how to configure a default zoom level for all users.  </p><p>I want </p><p>about:preferences -&gt; Default zoom </p><p>to have a default value of 133% instead of 100%. </p><p>So far I'm using the files </p><p>firefox/distribution/distribution.ini </p><p>and  </p><p>firefox/browser/defaults/preferences/all-XXX.js </p><p>for configuration, but I don't know which keyword to use. I compared the content-prefs.sqlite file between to test profiles, one having 100% default zoom, the other having 133% default zoom. </p><p>The database says there is a setting ""browser.content.full-zoom"", but I can't configure this with the *.ini or *.js file, or can I? </p><p><br> I also read this: </p><p><a href=""http://example.com"" rel=""nofollow"">https://developer.mozilla.org/en-US/docs/Mozilla/Preferences/A_brief_guide_to_Mozilla_preferences</a> </p><p>but it didn't help. </p>",customize;desktop;firefox-760;linux;,firefox,customize,en-US,"",stefan42
1288364,2020-05-26 08:07:55 -0800,2020-05-26T08:07:55Z,Cut & paste function,<p>I am no longer able to cut and paste user names or passwords from my Dashlane password keeper to sites I am trying to log in to using Firefox.  What has changed?  How can I fix this issue?  Thanks! </p>,other;desktop;firefox-760;windows-7;,firefox,other,en-US,"",dickrobbins69
1288362,2020-05-26 07:42:43 -0800,2020-05-26T08:06:32Z,G-Mail,"<p>Gmail is just a blank page for me today - Mon., May 25. Whichever way I try and get in is a blank screen. I can not get to anything on gamil. I have cleared history and cookies. I Have updated Firefox (Windows 76.0.1) </p>",other;desktop;firefox-760;windows-81;,firefox,other,en-US,1316061;,mikeldmoore
