question_url, question_created, answer_url, answer_creator, answer_created
https://support.mozilla.org/questions/1280024,2020-02-16 15:04:41 -0800,https://support.mozilla.org/questions/1280024#answer-1290855,cor-el,2020-02-16 15:55:19 -0800
https://support.mozilla.org/questions/1280024,2020-02-16 15:04:41 -0800,https://support.mozilla.org/questions/1280024#answer-1290851,cor-el,2020-02-16 15:46:20 -0800
https://support.mozilla.org/questions/1280023,2020-02-16 15:04:35 -0800,https://support.mozilla.org/questions/1280023#answer-1292304,jscher2000,2020-02-21 10:19:50 -0800
https://support.mozilla.org/questions/1280023,2020-02-16 15:04:35 -0800,https://support.mozilla.org/questions/1280023#answer-1292303,jscher2000,2020-02-21 10:18:57 -0800
https://support.mozilla.org/questions/1280023,2020-02-16 15:04:35 -0800,https://support.mozilla.org/questions/1280023#answer-1292249,philipp,2020-02-21 06:38:42 -0800
https://support.mozilla.org/questions/1280023,2020-02-16 15:04:35 -0800,https://support.mozilla.org/questions/1280023#answer-1291368,philipp,2020-02-18 08:23:29 -0800
https://support.mozilla.org/questions/1280023,2020-02-16 15:04:35 -0800,https://support.mozilla.org/questions/1280023#answer-1290880,ComputerWhiz,2020-02-16 18:07:54 -0800
https://support.mozilla.org/questions/1280022,2020-02-16 15:00:23 -0800,https://support.mozilla.org/questions/1280022#answer-1290998,cor-el,2020-02-17 07:49:50 -0800
https://support.mozilla.org/questions/1280022,2020-02-16 15:00:23 -0800,https://support.mozilla.org/questions/1280022#answer-1290983,cor-el,2020-02-17 07:02:17 -0800
https://support.mozilla.org/questions/1280022,2020-02-16 15:00:23 -0800,https://support.mozilla.org/questions/1280022#answer-1290862,cor-el,2020-02-16 16:50:19 -0800
https://support.mozilla.org/questions/1280022,2020-02-16 15:00:23 -0800,https://support.mozilla.org/questions/1280022#answer-1290859,cor-el,2020-02-16 16:45:48 -0800
https://support.mozilla.org/questions/1280022,2020-02-16 15:00:23 -0800,https://support.mozilla.org/questions/1280022#answer-1290858,fredmcd-hotmail,2020-02-16 16:37:53 -0800
https://support.mozilla.org/questions/1280021,2020-02-16 14:48:16 -0800,https://support.mozilla.org/questions/1280021#answer-1290853,cor-el,2020-02-16 15:49:38 -0800
https://support.mozilla.org/questions/1280020,2020-02-16 14:04:21 -0800,https://support.mozilla.org/questions/1280020#answer-1291140,fredmcd-hotmail,2020-02-17 13:11:44 -0800
https://support.mozilla.org/questions/1280020,2020-02-16 14:04:21 -0800,https://support.mozilla.org/questions/1280020#answer-1290854,cor-el,2020-02-16 15:52:20 -0800
https://support.mozilla.org/questions/1280020,2020-02-16 14:04:21 -0800,https://support.mozilla.org/questions/1280020#answer-1290847,fredmcd-hotmail,2020-02-16 15:31:59 -0800
https://support.mozilla.org/questions/1280019,2020-02-16 13:55:40 -0800,https://support.mozilla.org/questions/1280019#answer-1290852,cor-el,2020-02-16 15:47:47 -0800
https://support.mozilla.org/questions/1280019,2020-02-16 13:55:40 -0800,https://support.mozilla.org/questions/1280019#answer-1290848,fredmcd-hotmail,2020-02-16 15:34:04 -0800
https://support.mozilla.org/questions/1280017,2020-02-16 13:23:22 -0800,https://support.mozilla.org/questions/1280017#answer-1291543,matthew23,2020-02-18 15:37:50 -0800
https://support.mozilla.org/questions/1280015,2020-02-16 13:15:28 -0800,https://support.mozilla.org/questions/1280015#answer-1291005,cor-el,2020-02-17 08:04:38 -0800
https://support.mozilla.org/questions/1280015,2020-02-16 13:15:28 -0800,https://support.mozilla.org/questions/1280015#answer-1290987,cor-el,2020-02-17 07:18:55 -0800
https://support.mozilla.org/questions/1280015,2020-02-16 13:15:28 -0800,https://support.mozilla.org/questions/1280015#answer-1290861,cor-el,2020-02-16 16:49:21 -0800
https://support.mozilla.org/questions/1280010,2020-02-16 12:34:42 -0800,https://support.mozilla.org/questions/1280010#answer-1290850,fredmcd-hotmail,2020-02-16 15:39:41 -0800
https://support.mozilla.org/questions/1280009,2020-02-16 12:23:12 -0800,https://support.mozilla.org/questions/1280009#answer-1290849,cor-el,2020-02-16 15:36:02 -0800
https://support.mozilla.org/questions/1280009,2020-02-16 12:23:12 -0800,https://support.mozilla.org/questions/1280009#answer-1290825,cor-el,2020-02-16 13:38:42 -0800
https://support.mozilla.org/questions/1280008,2020-02-16 12:22:14 -0800,https://support.mozilla.org/questions/1280008#answer-1290828,the-edmeister,2020-02-16 13:42:59 -0800
https://support.mozilla.org/questions/1280007,2020-02-16 11:58:44 -0800,https://support.mozilla.org/questions/1280007#answer-1290883,ComputerWhiz,2020-02-16 18:22:36 -0800
https://support.mozilla.org/questions/1280005,2020-02-16 11:29:35 -0800,https://support.mozilla.org/questions/1280005#answer-1290814,philipp,2020-02-16 12:20:53 -0800
https://support.mozilla.org/questions/1280005,2020-02-16 11:29:35 -0800,https://support.mozilla.org/questions/1280005#answer-1290809,mrperfect72,2020-02-16 12:01:23 -0800
https://support.mozilla.org/questions/1280000,2020-02-16 10:17:10 -0800,https://support.mozilla.org/questions/1280000#answer-1290790,fredmcd-hotmail,2020-02-16 10:45:26 -0800
https://support.mozilla.org/questions/1279998,2020-02-16 09:53:16 -0800,https://support.mozilla.org/questions/1279998#answer-1293334,mouliagabriel,2020-02-25 16:13:21 -0800
https://support.mozilla.org/questions/1279998,2020-02-16 09:53:16 -0800,https://support.mozilla.org/questions/1279998#answer-1293332,mouliagabriel,2020-02-25 16:10:29 -0800
https://support.mozilla.org/questions/1279998,2020-02-16 09:53:16 -0800,https://support.mozilla.org/questions/1279998#answer-1291242,McCoy-thereal,2020-02-17 20:49:13 -0800
