question_url, question_created, answer_url, answer_creator, answer_created
https://support.mozilla.org/questions/1280362,2020-02-20 15:20:32 -0800,https://support.mozilla.org/questions/1280362#answer-1292124,cor-el,2020-02-20 15:46:50 -0800
https://support.mozilla.org/questions/1280361,2020-02-20 14:39:33 -0800,https://support.mozilla.org/questions/1280361#answer-1292195,fredmcd-hotmail,2020-02-20 21:16:59 -0800
https://support.mozilla.org/questions/1280361,2020-02-20 14:39:33 -0800,https://support.mozilla.org/questions/1280361#answer-1292146,jscher2000,2020-02-20 17:21:47 -0800
https://support.mozilla.org/questions/1280361,2020-02-20 14:39:33 -0800,https://support.mozilla.org/questions/1280361#answer-1292126,cor-el,2020-02-20 15:48:02 -0800
https://support.mozilla.org/questions/1280355,2020-02-20 13:21:32 -0800,https://support.mozilla.org/questions/1280355#answer-1292084,cor-el,2020-02-20 13:34:13 -0800
https://support.mozilla.org/questions/1280354,2020-02-20 13:16:00 -0800,https://support.mozilla.org/questions/1280354#answer-1292086,cor-el,2020-02-20 13:35:06 -0800
https://support.mozilla.org/questions/1280352,2020-02-20 13:02:37 -0800,https://support.mozilla.org/questions/1280352#answer-1292191,cor-el,2020-02-20 20:07:48 -0800
https://support.mozilla.org/questions/1280352,2020-02-20 13:02:37 -0800,https://support.mozilla.org/questions/1280352#answer-1292186,fredmcd-hotmail,2020-02-20 19:46:31 -0800
https://support.mozilla.org/questions/1280352,2020-02-20 13:02:37 -0800,https://support.mozilla.org/questions/1280352#answer-1292149,fredmcd-hotmail,2020-02-20 17:24:04 -0800
https://support.mozilla.org/questions/1280349,2020-02-20 12:18:41 -0800,https://support.mozilla.org/questions/1280349#answer-1292083,cor-el,2020-02-20 13:31:26 -0800
https://support.mozilla.org/questions/1280349,2020-02-20 12:18:41 -0800,https://support.mozilla.org/questions/1280349#answer-1292077,the-edmeister,2020-02-20 13:21:45 -0800
https://support.mozilla.org/questions/1280347,2020-02-20 11:39:02 -0800,https://support.mozilla.org/questions/1280347#answer-1292038,jscher2000,2020-02-20 11:54:47 -0800
https://support.mozilla.org/questions/1280347,2020-02-20 11:39:02 -0800,https://support.mozilla.org/questions/1280347#answer-1292033,cor-el,2020-02-20 11:49:22 -0800
https://support.mozilla.org/questions/1280347,2020-02-20 11:39:02 -0800,https://support.mozilla.org/questions/1280347#answer-1292028,evhenry,2020-02-20 11:42:29 -0800
https://support.mozilla.org/questions/1280346,2020-02-20 11:36:11 -0800,https://support.mozilla.org/questions/1280346#answer-1292055,cor-el,2020-02-20 12:30:02 -0800
https://support.mozilla.org/questions/1280346,2020-02-20 11:36:11 -0800,https://support.mozilla.org/questions/1280346#answer-1292025,jscher2000,2020-02-20 11:39:18 -0800
https://support.mozilla.org/questions/1280344,2020-02-20 11:12:11 -0800,https://support.mozilla.org/questions/1280344#answer-1292016,evhenry,2020-02-20 11:30:41 -0800
https://support.mozilla.org/questions/1280341,2020-02-20 10:44:50 -0800,https://support.mozilla.org/questions/1280341#answer-1292114,cor-el,2020-02-20 14:41:58 -0800
https://support.mozilla.org/questions/1280341,2020-02-20 10:44:50 -0800,https://support.mozilla.org/questions/1280341#answer-1291999,jscher2000,2020-02-20 11:04:15 -0800
https://support.mozilla.org/questions/1280341,2020-02-20 10:44:50 -0800,https://support.mozilla.org/questions/1280341#answer-1291990,jscher2000,2020-02-20 10:56:40 -0800
https://support.mozilla.org/questions/1280340,2020-02-20 10:43:28 -0800,https://support.mozilla.org/questions/1280340#answer-1291998,jscher2000,2020-02-20 11:03:37 -0800
https://support.mozilla.org/questions/1280340,2020-02-20 10:43:28 -0800,https://support.mozilla.org/questions/1280340#answer-1291995,jscher2000,2020-02-20 10:59:27 -0800
https://support.mozilla.org/questions/1280339,2020-02-20 10:16:01 -0800,https://support.mozilla.org/questions/1280339#answer-1292004,jscher2000,2020-02-20 11:09:25 -0800
https://support.mozilla.org/questions/1280339,2020-02-20 10:16:01 -0800,https://support.mozilla.org/questions/1280339#answer-1291991,fredmcd-hotmail,2020-02-20 10:57:11 -0800
https://support.mozilla.org/questions/1280338,2020-02-20 10:06:23 -0800,https://support.mozilla.org/questions/1280338#answer-1292231,fredmcd-hotmail,2020-02-21 04:57:28 -0800
https://support.mozilla.org/questions/1280338,2020-02-20 10:06:23 -0800,https://support.mozilla.org/questions/1280338#answer-1292110,cor-el,2020-02-20 14:24:45 -0800
https://support.mozilla.org/questions/1280338,2020-02-20 10:06:23 -0800,https://support.mozilla.org/questions/1280338#answer-1291994,fredmcd-hotmail,2020-02-20 10:58:34 -0800
https://support.mozilla.org/questions/1280336,2020-02-20 09:57:21 -0800,https://support.mozilla.org/questions/1280336#answer-1292019,cor-el,2020-02-20 11:34:35 -0800
https://support.mozilla.org/questions/1280336,2020-02-20 09:57:21 -0800,https://support.mozilla.org/questions/1280336#answer-1292014,cor-el,2020-02-20 11:21:24 -0800
https://support.mozilla.org/questions/1280336,2020-02-20 09:57:21 -0800,https://support.mozilla.org/questions/1280336#answer-1292012,jscher2000,2020-02-20 11:19:52 -0800
https://support.mozilla.org/questions/1280336,2020-02-20 09:57:21 -0800,https://support.mozilla.org/questions/1280336#answer-1292000,cor-el,2020-02-20 11:04:16 -0800
https://support.mozilla.org/questions/1280336,2020-02-20 09:57:21 -0800,https://support.mozilla.org/questions/1280336#answer-1291987,fredmcd-hotmail,2020-02-20 10:54:05 -0800
https://support.mozilla.org/questions/1280336,2020-02-20 09:57:21 -0800,https://support.mozilla.org/questions/1280336#answer-1291982,fredmcd-hotmail,2020-02-20 10:44:53 -0800
https://support.mozilla.org/questions/1280336,2020-02-20 09:57:21 -0800,https://support.mozilla.org/questions/1280336#answer-1291975,fredmcd-hotmail,2020-02-20 10:34:10 -0800
