id,created,updated,title,content,tags,product,topic,locale,answers,creator
1276714,2020-01-07 18:37:01 -0800,2020-01-07T18:37:01Z,Nueva pestaña de youtube,"<p>En versiones anteriores de Mozilla Firefox, podria abrir nuevas pestañas de youtube pero haciendo que empezaran la reproduccion automatica al seleccionarlas, con la version 72 no puedo hacerlo, existe alguna forma de  volver a tener esta opcion?.
</p>",tabs;firefox-720;desktop;windows-10;,firefox,tabs,es,"",jackal34568
1276712,2020-01-07 17:12:14 -0800,2020-01-07T17:12:14Z,"How do you ""easily"" put tabs back on bottom using firefox 72?  Thanks!","<p>I've tried the instructions/answers for firefox 65+ and firefox 71 to no avail.  Thank you!
</p>",tabs;firefox-720;desktop;windows-10;,firefox,tabs,en-US,"",fireside
